Mon 7-9,Mon 8-10,Mon 9-11,Tues 7-9,Tues 9-11,Wed 7-9,Wed 9-11,Thurs 7-9,Thurs 9-11,Fri 7-9,Fri 9-11,Sat 3-5,Sat 4-6,Sat 5-7,Sun 5-7,Sun 6-8,Sun 7-9,Sun 8-10,Sun 9-11,226/217 Subs
ap9884,spatcha,intrater,manyaz,manyaz,dl2223,atli,swaseem,swaseem,kh3329,dl2223,ko8584,at4837,ko8584,at4837,pnaphade,zeligson,sb35,pn7781,amishas
ih2422,atli,sb35,sydneyp,sydneyp,kdhoward,ss7886,fagarcia,fagarcia,an4978,kdhoward,gvchen,intrater,gvchen,ap9884,doseyemi,ih2422,pnaphade,spatcha,jv8294
ls3841,ss7886,mj20,an4978,lyoder,ls3841,,mtouil,,,,lyoder,ec2736,,mn4560,mtouil,tgdinh,kh3329,ec2736,ml7415
mj20,,,mn4560,,pn7781,,,,,,tgdinh,,,,,,,,
